concept
Vector range expansion
altered pathogen incubation
precipitation-driven contamination
salinity-induced microbial shifts
permafrost pathogen release
aerosolized spore dispersion
stagnant water proliferation
soil moisture variation
ultraviolet radiation effects
ocean warming–linked algal blooms
windborne dust transmission
temperature-dependent viral replication
altered host migration
extreme weather–mediated exposure
humidity-modulated droplet persistence
floodplain bacterial amplification
drought-enhanced particulate exposure
wildfire smoke toxicants
sea-level rise–associated waterborne spread
ecosystem biodiversity loss–driven pathogen dynamics
glacial melt microbial release
altered seasonal phenology
thermal stress on host immunity
rainfall pattern disruption
vegetation cover change–mediated vector habitat
urban heat island microclimates
shifting isotherms and disease niches
altered hydrological cycles
nutrient runoff–stimulated cyanobacterial blooms
soil desiccation–linked fungal outbreaks.
