rag_concepts,non_rag_concepts
increased precipitation,vector range expansion
rising temperatures,altered pathogen incubation
severe storms,precipitation-driven contamination
virus spread,salinity-induced microbial shifts
extreme climate events,permafrost pathogen release
biodiversity loss,aerosolized spore dispersion
zoonoses,stagnant water proliferation
altered ecosystems,soil moisture variation
temperature-related death and illness,ultraviolet radiation effects
vector-borne diseases,ocean warming–linked algal blooms
water-related illnesses,windborne dust transmission
foodborne illness,temperature-dependent viral replication
air quality impacts,altered host migration
zoonotic diseases,extreme weather–mediated exposure
arbovirus transmission,humidity-modulated droplet persistence
global warming,floodplain bacterial amplification
rising atmospheric temperature,drought-enhanced particulate exposure
ocean warming,wildfire smoke toxicants
ice melt,sea-level rise–associated waterborne spread
sea level rise,ecosystem biodiversity loss–driven pathogen dynamics
heat waves,glacial melt microbial release
droughts,altered seasonal phenology
storms,thermal stress on host immunity
increased greenhouse gases,rainfall pattern disruption
altered natural patterns,vegetation cover change–mediated vector habitat
severe natural events,urban heat island microclimates
storm-driven virus spread,shifting isotherms and disease niches
environmental effects,altered hydrological cycles
infectious diseases,nutrient runoff–stimulated cyanobacterial blooms
air pollution,soil desiccation–linked fungal outbreaks.
extreme heat,
standing water,
wildfires,
contaminated drinking water,
vector-borne disease,
arboviruses,
drought,
flood-related outbreaks,
thunderstorms,
changes in rainfall patterns,
permafrost thawing,
sea-level rise,
hurricanes,
urban heat island effect,
surface temperature modification,
heat exposure,
ambient temperature rise,
cooling interventions,
greenness exposure,
proximity to water bodies,
microclimate regulation,
heat-related illness,
thermal stress,
