concept
Air pollution–linked cognitive fatigue
urban heat stress
light pollution insomnia
chemical exposure anxiety
microplastic neurotoxicity
wildfire smoke distress
electromagnetic field tension
water contamination fear
toxic mold irritability
drought-related despair
flood trauma
climate displacement stress
ozone-related mood decline
indoor air stagnation fatigue
deforestation grief
coastal erosion anxiety
noise-vibration sensitivity
temperature variability irritability
ultraviolet overexposure fatigue
landscape degradation sadness
particulate matter–associated depression
humidity fluctuation discomfort
radiation exposure unease
soil contamination worry
ecosystem collapse distress
biodiversity loss melancholy
haze-related confusion
environmental toxin–induced irritability
poor ventilation lethargy
thermal discomfort agitation
storm-induced anxiety
