concept
Gamma radiation
alpha particle exposure
beta particle exposure
neutron radiation
terrestrial background radiation
medical imaging radiation
occupational radiation exposure
nuclear reactor emissions
radioactive waste contamination
contaminated groundwater radionuclides
stratospheric ozone depletion–related UV exposure
solar flare radiation
geomagnetic storm exposure
electromagnetic hypersensitivity zones
power line electromagnetic fields
wireless communication RF exposure
radar system emissions
microwave tower radiation
airport security scanner exposure
cosmic background radiation
radon progeny inhalation
fallout dust inhalation
contaminated soil radioisotopes
depleted uranium exposure
tritium contamination
cesium-137 deposition
cobalt-60 contamination
thoron gas exposure
medical radiotherapy leakage
industrial radiography exposure
particle accelerator radiation
high-voltage transformer EM fields
MRI magnetic field exposure
extremely low frequency (ELF) fields
ultraviolet-C disinfection lamp exposure
phototherapy UV exposure
spacecraft cosmic radiation
aviation altitude radiation
radioactive building materials
geothermal radiation sources
contaminated food chain radionuclides.
