set,concept,best_cluster,best_endoh_label,best_similarity
rag,air pollution exposure,At_the_Individual_level,Exposure_to_pollutants_home,0.7401080131530762
rag,gaseous pollutants,Trans_boundary_pollution,Organic_pollutants,0.7126860618591309
rag,ozone levels,Trans_boundary_pollution,Ozone_Depeletion,0.6524931192398071
rag,fine particulate matter (pm2.5),Home_as_microenvironment,air_quality,0.4590825140476227
rag,toxic metal exposure,At_the_Individual_level,Exposure_to_toxins_home,0.574935793876648
rag,industrial waste exposure,At_the_Individual_level,Exposure_to_pollutants_workplace,0.6588786840438843
rag,transportation noise pollution,Exposure_to_pollutants_workplace,Industrial_noise_pollution,0.8219529390335083
rag,lack of recreational facilities,Accessibility_to_green_space,Parks_and_recreational_facility_gaps,0.7053553462028503
rag,green space availability,At_the_mesoenvironmental_level,Accessibility_to_green_space,0.6719207763671875
rag,neighborhood environmental burden,Local_community_infrastructre,Public_green_spaces,0.5242123603820801
rag,cumulative environmental burden,At_the_mesoenvironmental_level,Level_of_pollution,0.5511902570724487
rag,poor environmental conditions,At_the_mesoenvironmental_level,Level_of_pollution,0.5100160241127014
rag,exposure to gaseous pollutants,At_the_Individual_level,Exposure_to_pollutants_home,0.7564041614532471
rag,ozone exposure,Trans_boundary_pollution,Ozone_Depeletion,0.6622024774551392
rag,fine particulate exposure,At_the_Individual_level,Exposure_to_pollutants_workplace,0.5774692296981812
rag,neighborhood air pollution,policy_governance_effect,regulations_on_air_Quality,0.6499038934707642
rag,environmental hazards,At_the_Individual_level,Exposure_to_hazards_lifestyle_factors,0.6737899780273438
rag,exposure to environmental contaminants,At_the_Individual_level,Exposure_to_pollutants_home,0.790303111076355
rag,proximity to pollution sources,At_the_mesoenvironmental_level,Level_of_pollution,0.6901697516441345
rag,neighborhood environmental exposure,At_the_Individual_level,Exposure_to_pollutants_home,0.6914646625518799
rag,air pollution,Home_as_microenvironment,air_quality,0.7948118448257446
rag,hazardous sites,At_the_Individual_level,Exposure_to_hazards_lifestyle_factors,0.43655264377593994
rag,toxic sites,At_the_Individual_level,Exposure_to_toxins_home,0.5128921270370483
rag,poor built environment,At_the_mesoenvironmental_level,Built_in_environment,0.7716330885887146
rag,transportation infrastructure,At_the_mesoenvironmental_level,Accesbility_to_transportation,0.6308031678199768
rag,water pollution,Home_as_microenvironment,water_quality,0.7701163291931152
rag,exposure to nature,At_the_Individual_level,Exposure_to_hazards_lifestyle_factors,0.5439748764038086
rag,park availability,Accessibility_to_green_space,Parks_and_recreational_facility_gaps,0.7126739621162415
rag,trail access,Built_in_environment,accesibility_to_recreational_area,0.4641783833503723
rag,street vegetation,Local_community_infrastructre,Street_lighting_quality,0.4460769593715668
rag,urban greenery,Local_community_infrastructre,Public_green_spaces,0.6257227063179016
rag,tree canopy coverage,Accessibility_to_green_space,loss_of_urban_forest,0.39532744884490967
rag,neighborhood natural features,At_the_microenvironmental_level,Home_as_microenvironment,0.3370293974876404
rag,proximity to parks,Accessibility_to_green_space,Parks_and_recreational_facility_gaps,0.7240630388259888
rag,neighborhood environmental quality,Built_in_environment,housing_quality,0.5929153561592102
rag,activity space exposure,At_the_mesoenvironmental_level,Accessibility_to_green_space,0.45342451333999634
rag,spatial exposure modeling,Local_community_infrastructre,Airborne_disease_transmission_in_public_spaces,0.45236486196517944
non_rag,noise levels,Exposure_to_pollutants_workplace,Industrial_noise_pollution,0.5850570797920227
