concept
Viral exposure
bacterial contamination
pathogen transmission
allergen sensitivity
fungal spores
zoonotic spillover
vector bites
microbiome imbalance
bioaerosol exposure
parasitic infection
mycotoxin exposure
endotoxin inhalation
waterborne pathogens
foodborne microbes
antimicrobial resistance dissemination
biofilm formation
helminth infestation
prion contamination
environmental DNA exchange
cyanobacterial bloom toxins
pollen inhalation
arthropod-borne disease
fecal-oral transmission
nosocomial pathogen spread
opportunistic infection
soil microbiota disturbance
indoor mold proliferation
biogenic volatile emissions
tick-borne pathogens
mosquito-borne viruses
avian influenza exposure
animal dander allergens
sewage contamination
aerosolized pathogens
microbial endotoxin exposure
hospital bioaerosols
contaminated surface contact
biohazard waste exposure
permafrost pathogen release
marine biotoxin accumulation
and microbial antibiotic residue exposure.
